Category,Subcategory,Recipe,Recipe Link
Ingredient,Rice,Garlic Fried Rice,https://panlasangpinoy.com/how-to-cook-garlic-fried-steamed-rice-dish-recipe/
Ingredient,Rice,Champorado Recipe,https://panlasangpinoy.com/filipino-food-tsampurado-champorado-champurado-chocolate-rice-porridge-recipe/
