Category,Subcategory,Recipe,Recipe Link
Type,Ginataan,Ginataang Monggo Recipe,https://panlasangpinoy.com/ginataang-monggo-filipino-dessert/
Type,Ginataan,Ginataang Halo-halo Recipe (Binignit),https://panlasangpinoy.com/ginataang-halo-halo-recipe/
Type,Ginataan,Ginataang Langka Recipe,https://panlasangpinoy.com/ginataang-langka-utan-recipe/
Type,Ginataan,Ginataang Mais Recipe,https://panlasangpinoy.com/ginataang-mais-filipino-dessert-recipe/
Type,Ginataan,Ginataang Manok Recipe,https://panlasangpinoy.com/filipino-food-chicken-stew-ginataang-manok-recipe/
Type,Ginataan,Ginataang Alimasag Recipe,https://panlasangpinoy.com/ginataang-alimasag/
Type,Ginataan,Laing Recipe,https://panlasangpinoy.com/laing/
